código,clave,descripción,margen de mercado,caja,master,precio,unidad,ean,precio mínimo de venta 2025,precio mínimo de venta 2026,alta rotación,precio mayoreo con IVA,precio distribuidor con IVA,precio público con IVA,precio mayoreo sin IVA,precio distribuidor sin IVA,precio público sin IVA,Marca,Precio Medio Mayoreo sin IVA,Precio Medio Mayoreo con IVA,Codigo SAT,Descripcion SAT,Familia,Descripción Familia,Peso[Kg],Volumen[cm3],HD
47252,MR-1135,"Lámpara de halógeno 35 W tipo MR11 en caja, VOLTECK",MM00,6,36,16,Pieza,7.50E+12,10,10,1,13,10,16,11.21,8.62,13.79,Volteck,12.5,14.5,39101601,Lámparas halógenas,P204,Focos de halógeno,0.02,148.969,
47254,JR-50C,"Lámpara de halógeno transp. 50 W tipo MR16 en caja, VOLTECK",MM00,6,36,24,Pieza,7.50E+12,15,15,1,20,15,24,17.24,12.93,20.69,Volteck,18.97,22,39101601,Lámparas halógenas,P204,Focos de halógeno,0.04,166.212,
47255,JR-50R,"Lámpara de halógeno rojo 50 W tipo MR16 en caja, VOLTECK",MM00,6,36,22,Pieza,7.50E+12,14,14,1,18,14,22,15.52,12.07,18.97,Volteck,17.24,20,39101601,Lámparas halógenas,P204,Focos de halógeno,0.04,159.73,
47256,JR-50A,"Lámpara de halógeno amarillo 50 W tipo MR16 en caja, VOLTECK",MM00,6,36,22,Pieza,7.50E+12,14,14,1,18,14,22,15.52,12.07,18.97,Volteck,17.24,20,39101601,Lámparas halógenas,P204,Focos de halógeno,0.04,165.31,
47257,JR-50V,"Lámpara de halógeno verde 50 W tipo MR16 en caja, VOLTECK",MM00,6,36,22,Pieza,7.50E+12,14,14,1,18,14,22,15.52,12.07,18.97,Volteck,17.24,20,39101601,Lámparas halógenas,P204,Focos de halógeno,0.04,168.025,
47258,LAT-8P,"Lámpara de taller con canastilla plástica, 7.5 m, VOLTECK",MM00,3,12,290,Pieza,7.50E+12,185,185,0,240,185,290,206.9,159.48,250,Volteck,228.45,265,39101600,Lámparas y bombillas,P235,Lámparas de trabajo y taller,1.043,5631.342,
47259,LAT-8M,"Lámpara de taller con canastilla metálica 7.5 m, VOLTECK",MM00,3,12,355,Pieza,7.50E+12,225,225,0,295,225,355,254.31,193.97,306.03,Volteck,280.17,325,39101600,Lámparas y bombillas,P235,Lámparas de trabajo y taller,1.225,5631.212,
47260,LAT-15P,"Lámpara de taller con canastilla plástica, 14.5 m, VOLTECK",MM00,3,9,400,Pieza,7.50E+12,255,255,0,335,255,400,288.79,219.83,344.83,Volteck,314.66,365,39101600,Lámparas y bombillas,P235,Lámparas de trabajo y taller,1.805,6707.68,
47267,SUB-821F,Luminario suburbano con foco LED 40W 6500K y sensor de luz,MM00,1,4,1130,Pieza,7.50E+12,775,775,0,935,775,1130,806.03,668.1,974.14,Volteck,887.93,1030,39111500,Iluminación de interiores y artefactos,P420,"Luminarios, VOLTECK LAIT",1.56,27320.128,
47269,SUB-822F,Luminario suburbano con foco LED 50W 6500K y sensor de luz,MM00,1,4,1350,Pieza,7.50E+12,925,925,0,1115,925,1350,961.21,797.41,1163.79,Volteck,1060.34,1230,39111500,Iluminación de interiores y artefactos,P420,"Luminarios, VOLTECK LAIT",1.95,44743.5,
47275,ARB-902S,"Arbotante negro c/sensor movimiento, lámparas no incluidas",MM00,1,4,280,Pieza,7.50E+12,195,195,0,235,195,280,202.59,168.1,241.38,Volteck,219.83,255,39111500,Iluminación de interiores y artefactos,P420,"Luminarios, VOLTECK LAIT",0.54,4500,
47284,REP-FUS60,"Repuesto para fusible de 60 A, VOLTECK",MM1,50,1000,2.5,Pieza,7.50E+12,1.5,1.5,1,2.1,1.5,2.5,1.81,1.29,2.16,Volteck,1.98,2.3,39121600,Dispositivos y accesorios para la protección de circuitos,P505,"Fusibles, VOLTECK",0.003,1.295,
47329,CAPU-1214,"Bolsa con 10 capuchones para cable, calibres 14 a 12 AWG",MM00,10,100,15.5,Juego,7.50E+12,9,9,0,12.5,9,15.5,10.78,7.76,13.36,Volteck,12.07,14,26121600,Cables eléctricos y accesorios,P475,"Fusibles, capuchones y terminales, VOLTECK",0.016,82.404,
47330,CAPU-0818,"Bolsa con 20 capuchones para cable, calibres surtidos",MM00,10,100,36,Juego,7.50E+12,22,22,0,30,22,36,25.86,18.97,31.03,Volteck,28.45,33,26121600,Cables eléctricos y accesorios,P475,"Fusibles, capuchones y terminales, VOLTECK",0.03,113.667,
47338,ARB-902L,"Arbotante LED 12W 4000K con sensor de movimiento, negro",MM00,1,12,655,Pieza,7.51E+12,455,455,0,545,455,655,469.83,392.24,564.66,Volteck,512.93,595,39111500,Iluminación de interiores y artefactos,P723,Luminarios LED,0.585,7524.95,
47349,PLA-217L,"Luminario LED plafón 24W 6500K, redondo, gris, VOLTECK",MM00,2,20,215,Pieza,7.51E+12,145,145,0,175,145,215,150.86,125,185.34,Volteck,168.1,195,39111500,Iluminación de interiores y artefactos,P723,Luminarios LED,0.679,2930.4,
47351,COSO-T,"Contacto de sobreponer triple sin tierra, VOLTECK",MM00,10,100,36,Pieza,7.50E+12,23,23,0,30,23,36,25.86,19.83,31.03,Volteck,28.45,33,39122200,Interruptores eléctricos y accesorios,P039,"Artefactos eléctricos, VOLTECK",0.061,270,
47355,APSO-D,"Interruptor de sobreponer dúplex, VOLTECK",MM00,10,100,25,Pieza,7.50E+12,16,16,0,21,16,25,18.1,13.79,21.55,Volteck,19.83,23,39122200,Interruptores eléctricos y accesorios,P039,"Artefactos eléctricos, VOLTECK",0.056,216.691,
47374,PLA-100L,"Luminario LED plafón decorativo 8W 6500K, liso, BASIC",MM00,2,20,160,Pieza,7.51E+12,110,110,0,130,110,160,112.07,94.83,137.93,Volteck,125,145,39111500,Iluminación de interiores y artefactos,P723,Luminarios LED,0.25,3159,
47375,PLA-101L,"Luminario LED plafón decorativo 15W 6500K, liso, BASIC",MM00,2,16,195,Pieza,7.51E+12,135,135,0,160,135,195,137.93,116.38,168.1,Volteck,150.86,175,39111500,Iluminación de interiores y artefactos,P723,Luminarios LED,0.374,5023.395,
